Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_4 collision detected at time: 5900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 6100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 6300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 6500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 6700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 6900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 7100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 7300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 7500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 7700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 7900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 8100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 8300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 8500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 8700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 8900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 9100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 9300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 9500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 9700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 9900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 10100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 10300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 10500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 10700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 10900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 11100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 11300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 11500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 11700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 11900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 12100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram4.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 12300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 12500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 12700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 12900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 13100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 13300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 13500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 13700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram1.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 13900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 14100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 14300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 14500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 14700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 14900000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 15100000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 15300000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram3.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 15500000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
blk_mem_gen_v8_4_4 collision detected at time: 15700000, Instance: Cache_tb.u_Cache_Top.u_BRAMs.bram2.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 3a, B  read address: 3a
